Sample	Status	Cell_state	Cell_type	locus	property	mean	scaled_property
CVID-6-Naive-IGL	CVID	CVID naive	Naive	IGL	polarity	0.4936105	0.436016738487279
CVID-7-Bright-IGL	CVID	CVID bright	Bright	IGL	polarity	0.5254892	1.8939110612337
CVID-7-Naive-IGL	CVID	CVID naive	Naive	IGL	polarity	0.5114849	1.25345867565845
CVID-8-Bright-IGL	CVID	CVID bright	Bright	IGL	polarity	0.50582296	0.994523707114225
CVID-8-Naive-IGL	CVID	CVID naive	Naive	IGL	polarity	0.51439744	1.38665656424148
CVID-9-Bright-IGL	CVID	CVID bright	Bright	IGL	polarity	0.4574086	-1.21958855541221
CVID-9-Naive-IGL	CVID	CVID naive	Naive	IGL	polarity	0.4715058	-0.574887615705738
HD-1-Bright-IGL	Healthy	Healthy bright	Bright	IGL	polarity	0.45843676	-1.1725681741898
HD-1-Naive-IGL	Healthy	Healthy naive	Naive	IGL	polarity	0.48520035	0.0513991117193791
HD-3-Bright-IGL	Healthy	Healthy bright	Bright	IGL	polarity	0.4290142	-2.51813694533373
HD-3-Naive-IGL	Healthy	Healthy naive	Naive	IGL	polarity	0.5053652	0.973589173862225
HD-4-Bright-IGL	Healthy	Healthy bright	Bright	IGL	polarity	0.48412678	0.00230201528599526
HD-4-Naive-IGL	Healthy	Healthy naive	Naive	IGL	polarity	0.48561892	0.0705413862372227
HD-5-Bright-IGL	Healthy	Healthy bright	Bright	IGL	polarity	0.4642222	-0.907985235406536
HD-5-Naive-IGL	Healthy	Healthy naive	Naive	IGL	polarity	0.4860309	0.0893822832338078
Infected-2-Bright-IGL	Infected	Infected bright	Bright	IGL	polarity	0.4854522	0.0629168550772852
Infected-2-Naive-IGL	Infected	Infected naive	Naive	IGL	polarity	0.47721592	-0.313749252779995
Infected-3-Bright-IGL	Infected	Infected bright	Bright	IGL	polarity	0.47186217	-0.558589905956055
Infected-3-Naive-IGL	Infected	Infected naive	Naive	IGL	polarity	0.48196927	-0.0963664241506379
Infected-4-Bright-IGL	Infected	Infected bright	Bright	IGL	polarity	0.46606413	-0.823749074901359
Infected-4-Naive-IGL	Infected	Infected naive	Naive	IGL	polarity	0.48053426	-0.161993094375094
Infected-5-Bright-IGL	Infected	Infected bright	Bright	IGL	polarity	0.49359357	0.435242486372728
Infected-5-Naive-IGL	Infected	Infected naive	Naive	IGL	polarity	0.48157817	-0.114252425450129
CVID-2-Bright-IGK	CVID	CVID bright	Bright	IGK	hydropathy	-0.6266095	-0.718908821984823
CVID-2-Naive-IGK	CVID	CVID naive	Naive	IGK	hydropathy	-0.5957703	-0.186764200832346
CVID-4-Bright-IGK	CVID	CVID bright	Bright	IGK	hydropathy	-0.47138005	1.95964694022552
CVID-4-Naive-IGK	CVID	CVID naive	Naive	IGK	hydropathy	-0.5848152	0.00227110291053604
CVID-5-Bright-IGK	CVID	CVID bright	Bright	IGK	hydropathy	-0.6571938	-1.24665502605995
CVID-5-Naive-IGK	CVID	CVID naive	Naive	IGK	hydropathy	-0.6123434	-0.472740685981835
CVID-6-Bright-IGK	CVID	CVID bright	Bright	IGK	hydropathy	-0.6533193	-1.17979874137503
CVID-6-Naive-IGK	CVID	CVID naive	Naive	IGK	hydropathy	-0.559131	0.445463821223735
CVID-7-Bright-IGK	CVID	CVID bright	Bright	IGK	hydropathy	-0.6119227	-0.465481313426165
CVID-7-Naive-IGK	CVID	CVID naive	Naive	IGK	hydropathy	-0.6118494	-0.464216488115181
CVID-8-Bright-IGK	CVID	CVID bright	Bright	IGK	hydropathy	-0.5077904	1.33136955602687
CVID-8-Naive-IGK	CVID	CVID naive	Naive	IGK	hydropathy	-0.5334292	0.888960235655261
CVID-9-Bright-IGK	CVID	CVID bright	Bright	IGK	hydropathy	-0.6750377	-1.55455975138949
